Latitude,Longitude,point
47.56269, 15.60733, RPT696
47.56349, 15.60504, RPT697
47.55405, 15.56219, RPT698
47.55052, 15.55779, RPT699
47.54700, 15.55650, RPT700
47.54696, 15.55626, RPT701
47.54667, 15.55447, RPT702
47.54871, 15.55147, RPT703
47.55169, 15.53601, RPT704
47.55214, 15.53539, RPT705
47.54816, 15.52234, RPT706
47.53953, 15.51219, RPT707
47.53948, 15.51192, RPT708
47.53657, 15.51148, RPT709
47.53630, 15.50938, RPT710
47.53490, 15.50960, RPT711
47.52894, 15.49841, RPT712
47.52878, 15.49828, RPT713
47.52831, 15.49706, RPT714
47.52752, 15.49662, RPT715
47.52656, 15.49505, RPT716
47.52544, 15.49266, RPT717
47.52693, 15.48517, RPT718
47.52673, 15.48387, RPT719
47.52351, 15.46452, RPT720
47.51843, 15.46888, RPT721
47.51380, 15.46308, RPT722
47.51237, 15.46431, RPT723
47.51232, 15.46428, RPT724
47.51195, 15.46410, RPT725
47.50762, 15.45269, RPT726
47.50661, 15.45384, RPT727
47.50559, 15.45280, RPT728
47.50156, 15.44826, RPT729
47.50039, 15.44577, RPT730
47.49343, 15.43167, RPT731
47.49332, 15.43140, RPT732
47.49255, 15.42988, RPT733
47.48835, 15.42123, RPT734
47.48184, 15.40604, RPT735
47.47893, 15.40821, RPT736
47.47227, 15.39536, RPT737
47.46953, 15.38757, RPT738
47.46881, 15.38221, RPT739
47.47222, 15.37306, RPT740
47.46902, 15.36600, RPT741
47.46149, 15.35786, RPT742
47.45938, 15.35643, RPT743
47.45826, 15.34046, RPT744
47.45504, 15.32934, RPT745
47.45519, 15.32852, RPT746
47.45480, 15.32528, RPT747
47.45459, 15.32493, RPT748
47.45452, 15.32482, RPT749
47.45660, 15.32077, RPT750
47.45566, 15.31974, RPT751
47.45567, 15.31960, RPT752
47.45464, 15.31728, RPT753
47.45380, 15.31533, RPT754
47.45368, 15.31522, RPT755
47.45141, 15.31175, RPT756
47.45123, 15.31144, RPT757
47.45128, 15.31138, RPT758
47.44516, 15.29607, RPT759
47.44496, 15.29423, RPT760
47.44414, 15.29181, RPT761
47.44407, 15.29170, RPT762
47.44380, 15.29099, RPT763
47.44368, 15.29013, RPT764
47.44368, 15.29006, RPT765
47.44124, 15.29007, RPT766
47.43893, 15.28815, RPT767
47.43850, 15.28828, RPT768
47.43837, 15.28778, RPT769
47.43785, 15.28256, RPT770
47.43609, 15.27793, RPT771
47.43479, 15.27481, RPT772
47.43472, 15.27487, RPT773
47.43463, 15.27469, RPT774
47.43179, 15.27483, RPT775
47.43146, 15.27535, RPT776
47.42165, 15.27960, RPT777
47.41652, 15.27935, RPT778
47.41365, 15.27802, RPT779
47.41198, 15.27350, RPT780
47.41035, 15.27324, RPT781
47.41016, 15.26864, RPT782
47.40954, 15.26754, RPT783
47.40947, 15.26741, RPT784
47.40713, 15.26189, RPT785
47.40710, 15.26159, RPT786
47.40658, 15.25656, RPT787
47.40609, 15.25013, RPT788
47.40493, 15.24807, RPT789
47.40179, 15.23283, RPT790
47.40167, 15.23269, RPT791
47.40093, 15.23266, RPT792
47.40088, 15.23267, RPT793
47.40044, 15.23207, RPT794
47.40073, 15.23131, RPT795
47.40590, 15.21633, RPT796
47.40606, 15.21569, RPT797
47.40895, 15.19979, RPT798
47.40978, 15.19841, RPT799
47.41043, 15.19708, RPT800
47.41067, 15.19664, RPT801
47.40525, 15.18340, RPT802
47.40706, 15.16694, RPT803
47.40113, 15.14819, RPT804
47.40087, 15.14767, RPT805
47.39317, 15.15125, RPT806
47.38548, 15.11988, RPT807
47.38504, 15.11918, RPT808
47.38450, 15.11698, RPT809
47.38291, 15.11182, RPT810
47.38148, 15.10719, RPT811
47.38303, 15.10639, RPT812
47.38130, 15.09841, RPT813
47.38212, 15.09778, RPT814
47.38162, 15.09663, RPT815
47.38183, 15.09634, RPT816
47.38099, 15.09623, RPT817
47.38022, 15.09330, RPT818
47.37929, 15.09169, RPT819
47.37669, 15.09360, RPT820
47.36591, 15.09479, RPT821
47.36523, 15.09500, RPT822
47.36366, 15.09718, RPT823
47.35601, 15.08918, RPT824
47.35673, 15.08247, RPT825
47.35669, 15.07756, RPT826
47.35704, 15.07586, RPT827
47.35703, 15.07182, RPT828
47.35376, 15.06826, RPT829
47.35437, 15.06706, RPT830
47.35285, 15.06533, RPT831
47.35067, 15.05983, RPT832
47.35034, 15.06009, RPT833
47.34870, 15.05847, RPT834
47.33742, 15.04830, RPT835
47.33550, 15.04339, RPT836
47.33555, 15.03452, RPT837
47.33237, 15.03119, RPT838
47.33368, 15.01639, RPT839
47.33434, 15.01594, RPT840
47.33640, 15.01973, RPT841
47.33758, 15.01613, RPT842
47.33902, 15.01316, RPT843
47.33917, 15.01237, RPT844
47.33904, 15.00495, RPT845
47.33904, 15.00487, RPT846
47.33982, 14.99973, RPT847
47.33748, 14.99593, RPT848
47.33613, 14.99648, RPT849
47.32442, 14.97405, RPT850
47.30897, 14.96666, RPT851
47.30786, 14.96592, RPT852
47.27704, 14.92942, RPT853
47.25129, 14.89603, RPT854
47.24856, 14.89167, RPT855
47.22714, 14.85910, RPT856
47.22408, 14.85559, RPT857
47.22396, 14.85540, RPT858
47.21642, 14.84727, RPT859
47.21631, 14.84725, RPT860
47.21670, 14.84492, RPT861
47.21671, 14.84485, RPT862
47.21680, 14.84489, RPT863
47.21785, 14.84207, RPT864
47.21806, 14.84173, RPT865
47.21781, 14.84102, RPT866
47.21851, 14.83494, RPT867
47.21632, 14.83410, RPT868
47.21554, 14.83199, RPT869
47.21793, 14.80829, RPT870
47.21740, 14.80235, RPT871
